*X-Coordinate,*Y-Coordinate,*Z-Coordinate,DESCR,*Vertex Number,LEVEL
19597.30915,30398.66796,7408.000259,Truck_Side_Loading_Location,1,3595
19640.8145,30486.81796,7405,Truck_Side_Loading_Location,2,3595
19634.7711,30368.68016,7267.6642,Truck_Side_Loading_Location,1,3735
19673.79866,30448.45154,7265,Truck_Side_Loading_Location,2,3735
19600.77636,30363.71988,7129.965197,Truck_Side_Loading_Location,1,3875
19639.06711,30486.33247,7125,Truck_Side_Loading_Location,2,3875
19585.10456,30417.37475,7043.76246,Truck_Side_Loading_Location,1,3960
19621.72499,30534.79493,7040,Truck_Side_Loading_Location,2,3960
19616.79145,30454.69643,6944.065125,Truck_Side_Loading_Location,1,4060
19670.86682,30580.95436,6940,Truck_Side_Loading_Location,2,4060
19659.38955,30486.36031,6845.383791,Truck_Side_Loading_Location,1,4160
19739.90933,30652.0559,6840,Truck_Side_Loading_Location,2,4160
19779.42909,30535.43678,6744.058298,Truck_Side_Loading_Location,1,4260
19842.51074,30658.53696,6740,Truck_Side_Loading_Location,2,4260
19222.34555,30760.38606,8620.396444,Truck_Side_Loading_Location,1,2375
19269.709,30763.55091,8623.626905,Truck_Side_Loading_Location,2,2375
19313.7756,30744.08938,8629.465021,Truck_Side_Loading_Location,3,2375
19347.08479,30708.42836,8632.815427,Truck_Side_Loading_Location,4,2375
19444.50332,30594.45731,8628.317451,Truck_Side_Loading_Location,5,2375
19167.77084,30762.20974,8703.977273,Truck_Side_Loading_Location,1,2275
19201.84023,30737.80783,8706.489263,Truck_Side_Loading_Location,2,2275
19329.9401,30664.4378,8728.633991,Truck_Side_Loading_Location,3,2275
19378.53957,30636.8162,8730.726169,Truck_Side_Loading_Location,4,2275
18866.69198,30635.30912,8981.612341,Truck_Side_Loading_Location,1,2000
19010.84474,30646.95031,8991.711248,Truck_Side_Loading_Location,2,2000
18989.09498,30729.87532,8895.506766,Truck_Side_Loading_Location,1,2100
19065.75565,30633.50598,8894.99985,Truck_Side_Loading_Location,2,2100
18993.24274,30753.23067,8797.633073,Truck_Side_Loading_Location,1,2200
19039.12018,30675.89436,8794.499303,Truck_Side_Loading_Location,2,2200
19790.16989,30668.73198,6439.180436,Truck_Side_Loading_Location,1,4560
